service_name,category_tree
Copertura in Gel,MANICURE
Ricostruzione in Gel,MANICURE
Ricostruzione Acri-Gel,MANICURE
Aggiunte Piccole Decorazioni ,MANICURE
Pedicure estetico ,PEDICURE
Pedicure Profondo tipo 1,PEDICURE
Pedicure Profondo tipo 2,PEDICURE
Pedicure Profondo tipo 3,PEDICURE
Rimozione Calli,PEDICURE
Ricostruzione Unghia,PEDICURE
Applicazione fascetta per unghia incarnita,PEDICURE
Semipermanente Piedi,PEDICURE
Massaggio Relax Gambe,MASSAGGI CORPO 
Massaggio Relax Schiena,MASSAGGI CORPO 
Massaggio Piedi,MASSAGGI CORPO 
Massaggio Decontratturante Schiena,MASSAGGI CORPO 
Massaggio viso,MASSAGGI CORPO 
Massaggio Pre/post parto,MASSAGGI CORPO 
Massaggio podo-cervicale,MASSAGGI CORPO 
Massaggio candle (Total Body),MASSAGGI CORPO 
Massaggio Anticellullite,MASSAGGI CORPO 
Trattamenti esfoliante Corpo,TRATTAMENTI CORPO 
Trattamenti esfoliante Gambe/Schiena,TRATTAMENTI CORPO 
Trattamenti Fango corpo,TRATTAMENTI CORPO 
Trattamenti Fango Gambe,TRATTAMENTI CORPO 
Trattamenti Fango Gambe,TRATTAMENTI CORPO 
Trattamenti con Bendaggio Gambe,TRATTAMENTI CORPO 
Trattamenti Personalizzati da,TRATTAMENTI CORPO 
Presso Terapia ,TRATTAMENTI CORPO 
Radiofrequenza  ,TRATTAMENTI CORPO 
Pulizia Viso,TRATTAMENTI VISO
Trattamenti Viso con Acidi,TRATTAMENTI VISO
Trattamenti Specifico Viso personalizzato,TRATTAMENTI VISO
Radiofrequenza Viso,TRATTAMENTI VISO
Presso Terapia Occhi,TRATTAMENTI VISO
Maschera Led,TRATTAMENTI VISO
Laminazione ciglia,TRATTAMENTI CIGLIA/SOPRACCIGLIA 
Laminazione Sopracciglia,TRATTAMENTI CIGLIA/SOPRACCIGLIA 
Dermopigmentazione Occhi/Labbra,TRATTAMENTI CIGLIA/SOPRACCIGLIA 
Microblading Sopracciglia ,TRATTAMENTI CIGLIA/SOPRACCIGLIA 
Prova Trucco,MAKE-UP 
Trucco,MAKE-UP 
Trucco Sposa,MAKE-UP 
Trucco Sposa,MAKE-UP 
Applicazione Ciglia finte,MAKE-UP 
Laser labbro,EPILAZIONE LASER
Laser viso,EPILAZIONE LASER
Laser braccia,EPILAZIONE LASER
Laser petto,EPILAZIONE LASER
Laser addome,EPILAZIONE LASER
Laser schiena,EPILAZIONE LASER
Laser lombare,EPILAZIONE LASER
Laser ascelle,EPILAZIONE LASER
Laser inguine,EPILAZIONE LASER
Laser glutei,EPILAZIONE LASER
Laser gambe complete,EPILAZIONE LASER
Laser linea alba,EPILAZIONE LASER
Laser basette,EPILAZIONE LASER
Laser mento,EPILAZIONE LASER
Consulenza Personalizzata,CONSULENZA
Operatore Terzo Millenio,TERZO MILLENNIO 
Trattamento Terzo Millenio,TERZO MILLENNIO 
Sopracciglia,CERETTA BRASILIANA  > Donna Viso
Narici,CERETTA BRASILIANA  > Donna Viso
Baffetti,CERETTA BRASILIANA  > Donna Viso
Guance,CERETTA BRASILIANA  > Donna Viso
Mento,CERETTA BRASILIANA  > Donna Viso
Petto,CERETTA BRASILIANA  > Donna Corpo
Addome,CERETTA BRASILIANA  > Donna Corpo
Ascelle,CERETTA BRASILIANA  > Donna Corpo
Avambracci,CERETTA BRASILIANA  > Donna Corpo
Braccia Complete,CERETTA BRASILIANA  > Donna Corpo
Inguine Classico,CERETTA BRASILIANA  > Donna Corpo
Inguine Brasiliano,CERETTA BRASILIANA  > Donna Corpo
Inguine Totale,CERETTA BRASILIANA  > Donna Corpo
Cosce,CERETTA BRASILIANA  > Donna Corpo
Mezza Gamba,CERETTA BRASILIANA  > Donna Corpo
Gamba completa (Inguine escluso),CERETTA BRASILIANA  > Donna Corpo
Glutei,CERETTA BRASILIANA  > Donna Corpo
Dita Mani,CERETTA BRASILIANA  > Donna Corpo
Dita Piedi,CERETTA BRASILIANA  > Donna Corpo
Cera completa,CERETTA BRASILIANA  > Donna Corpo
Sopracciglia,CERETTA BRASILIANA  > Uomo Viso
Narici,CERETTA BRASILIANA  > Uomo Viso
Orecchie,CERETTA BRASILIANA  > Uomo Viso
Petto,CERETTA BRASILIANA  > Uomo Corpo
Addome,CERETTA BRASILIANA  > Uomo Corpo
Petto + Addome,CERETTA BRASILIANA  > Uomo Corpo
Ascelle,CERETTA BRASILIANA  > Uomo Corpo
Schiena,CERETTA BRASILIANA  > Uomo Corpo
Bicipiti,CERETTA BRASILIANA  > Uomo Corpo
Avambracci,CERETTA BRASILIANA  > Uomo Corpo
Braccia Complete,CERETTA BRASILIANA  > Uomo Corpo
Inguine,CERETTA BRASILIANA  > Uomo Corpo
Cosce,CERETTA BRASILIANA  > Uomo Corpo
Mezza Gamba,CERETTA BRASILIANA  > Uomo Corpo
Gamba completa (inguine escuso),CERETTA BRASILIANA  > Uomo Corpo
Glutei,CERETTA BRASILIANA  > Uomo Corpo
Dita Mani,CERETTA BRASILIANA  > Uomo Corpo
Dita Piedi,CERETTA BRASILIANA  > Uomo Corpo
Realizzazione french ,MANICURE
Pedicure+Semipermanente Piedi,PEDICURE
FILI DI COLLAGENE,FILI DI COLLAGENE 
CALLUS EXTREME ,PEDICURE
Rimozione semipermanente ,MANICURE
Sopracciglia,Epilazione Donna
Labbro superiore ,Epilazione Donna
Sopracciglia e Labbro Superiore,Epilazione Donna
Ascelle,Epilazione Donna
Braccia,Epilazione Donna
Inguine Parziale,Epilazione Donna
Inguine Totale,Epilazione Donna
Mezza Gamba,Epilazione Donna
Gamba Intera,Epilazione Donna
Gamba Intera + Inguine parziale ,Epilazione Donna
Gamba Intera + Inguine totale,Epilazione Donna
Mezza Gamba + Inguine Parziale,Epilazione Donna
Mezza Gamba + Inguine Totale,Epilazione Donna
Sopracciglia,Epilazione Uomo
Spalla + Torace,Epilazione Uomo
Ascelle,Epilazione Uomo
Braccia,Epilazione Uomo
Schiena,Epilazione Uomo
Addome,Epilazione Uomo
Mezza gamba,Epilazione Uomo
Gamba intera,Epilazione Uomo
Trucco,Trucco
Trucco sposa,Trucco
Pulizia Viso,Viso
Laminazione Ciglia,Viso
Trattamento Viso Singolo,Viso
Trattamento Viso Singolo ( Pacchetto ),Viso
Scrub Total Body,Corpo
Trattamento Corpo Singolo,Corpo
Trattamento Corpo Singolo ( Pacchetto ),Corpo
Relax parziale ,Massaggi
Relax Total Body ,Massaggi
Decontratturante,Massaggi
Drenante / Rassodante Gambe,Massaggi
Manicure,Mani
Manicure + Smalto,Mani
Applicazione Smalto,Mani
Manicure Spa,Mani
Manicure + Semipermanente,Mani
Nail Art Semplici,Mani
Nail Art Complesse,Mani
Manicure + Semipermanente Rinforzato,Mani
Rimozione Semipermanente,Mani
Copertura unghie naturali corte,Mani
Copertura unghie naturali lunghe,Mani
Ricostruzione ,Mani
Refill ,Mani
Ricostruzione unghia singola,Mani
Riparazione unghia,Mani
Rimozione Gel/ Acrilico/ Acrygel,Mani
Pedicure estetica,Piedi
Pedicure curativa,Piedi
Pedicure meccanica,Piedi
Applicazione Smalto,Piedi
Pedicure spa,Piedi
Pedicure + Semipermanente,Piedi
Rimozione Semipermanente,Piedi
Callo,Piedi
Labbro superiore ,Laser
Mento,Laser
Viso Completo,Laser
Schiena,Laser
Petto superiore,Laser
Ascelle,Laser
Braccia,Laser
Addome,Laser
Lombare,Laser
Inguine Totale,Laser
Inguine Parziale,Laser
Glutei,Laser
Gamba Intera,Laser
Coscia ,Laser
Gambaletto,Laser
Gamba Intera + Inguine Parziale + Sopracciglia + Labbro Superiore,Epilazione Donna
Gamba Intera + Inguine Totale + Sopracciglia + Labbro Superiore,Epilazione Donna
Mezza Gamba + Inguine Parziale + Sopracciglia + Labbro Superiore,Epilazione Donna
Mezza Gamba + Inguine Totale + Sopracciglia + Labbro Superiore,Epilazione Donna
Torace,Epilazione Uomo
Sopracciglia + Labbro Superiore + Viso,Epilazione Donna
Pulizia Schiena,Corpo
Trattamento Fili di Collagene ( Singolo ),Viso
Trattamento Fili di Collagene ( Pacchetto),Viso
Taglio unghie,Piedi
Make up classico,Make up
Trucco sposa,Make up
Ceretta totale (gambe-inguine),Estetica di base
Ceretta Labbra,Estetica di base
Sopracciglia,Estetica di base
Ceretta braccia,Estetica di base
Ceretta inguine,Estetica di base
Ceretta ascelle,Estetica di base
Manicure,Estetica di base
Colata di gel,Nails
Pedicure,Estetica di base
Scrub corpo completo,Trattamenti corpo
Massaggio rilassante,Trattamenti corpo
Laminazione ciglia,Laminazione ciglia
Microblanding sopracciglia,Trucco permanente 
Trucco permanente labbra,""
Massaggio schiena,Trattamenti corpo
Massaggio drenante gambe,Trattamenti corpo
Massaggio anticellulite gambe,Trattamenti corpo
Rimozione gel o semipermanente,Nails
Semipermanente piedi,Nails
Semipermanente mani,Nails
Semipermanente mani rinforzato,Nails
Pulizia viso con spatola ultrasuoni,Trattamenti viso
Trattamenti con acido mandelico,Trattamenti viso
Ceretta metà gambe ,Estetica di base
Ceretta schiena,Estetica di base
Dermopigmentazione sopracciglia,Trucco permanente 
Viso completo,Epilazione definitiva (Laser)
Labiale/Mento,Epilazione definitiva (Laser)
Schiena/ Petto superiore,Epilazione definitiva (Laser)
Ascelle,Epilazione definitiva (Laser)
Braccia,Epilazione definitiva (Laser)
Addome/Lombare,Epilazione definitiva (Laser)
Inguine completo/Glutei,Epilazione definitiva (Laser)
Gamba completa,Epilazione definitiva (Laser)
Coscia,Epilazione definitiva (Laser)
Gambaletto,Epilazione definitiva (Laser)
Consulenza,Trucco permanente 
Massaggio Totale Corpo,Trattamenti corpo
Laminazione sopracciglia ,Laminazione ciglia
Ceretta glutei,Estetica di base
Trattamento algoplaste,Trattamenti corpo
Trattamento slimming ,Trattamenti corpo
Applicazione smalto,Nails
Ceretta torace,Estetica di base
Ricostruzione unghie,Nails
Epilazione sopracciglia,ESTETICA DI BASE
Ceretta labbro,ESTETICA DI BASE
Ceretta ascelle,ESTETICA DI BASE
Ceretta braccia,ESTETICA DI BASE
Ceretta inguine,ESTETICA DI BASE
Ceretta metà gamba,ESTETICA DI BASE
Ceretta gambe più inguine,ESTETICA DI BASE
Ceretta gambe,ESTETICA DI BASE
Pedicure,ESTETICA DI BASE
Pedicure con smalto semi-permanente,ESTETICA DI BASE
Manicure,ESTETICA DI BASE
Manicure con smalto semi-permanente,ESTETICA DI BASE
Applicazione smalto semi-permanente mani ,ESTETICA DI BASE
Applicazione smalto semi-permanente piedi,ESTETICA DI BASE
Micronedling,ESTETICA AVANZATA
Bbglow,ESTETICA AVANZATA
Pulizia viso,TRATTAMENTI VISO
Maschera viso,TRATTAMENTI VISO
Peeling corpo,TRATTAMENTI CORPO
Perfect body,TRATTAMENTI CORPO
Ceretta dorso uomo,ESTETICA DI BASE
Ceretta petto uomo,ESTETICA DI BASE
Trucco Permanente sopracciglia (PIXEL BROWS),TRUCCO PERMANENTE
Trucco permanente Labbra (STRAWBERRY LIPS),TRUCCO PERMANENTE
Trucco permanente occhi (EYELINER),TRUCCO PERMANENTE
Trattamento Hennè sopracciglia,TRATTAMENTI SOPRACCIGLIA
Trattamento Laminazione sopracciglia,TRATTAMENTI SOPRACCIGLIA
Massaggio Relax 50 min,MASSAGGI
Massaggio dorso 20 min',MASSAGGI
Massaggio parziale 30 min',MASSAGGI
Makeup Sposa,MAKEUP SPOSA
Pacchetti trattamenti personalizzati,TRATTAMENTI CORPO
Make up ,MAKEUP
Consulenza personalizzata,CONSULENZA
Laminazione ciglia con tinta,CIGLIA
Applicazione ciglia finte,CIGLIA
Epilazione laser labbro superiore,EPILAZIONE LASER
Epilazione  laser mento,EPILAZIONE LASER
Epilazione laser viso completo,EPILAZIONE LASER
Epilazione laser ascelle,EPILAZIONE LASER
Epilazione laser inguine,EPILAZIONE LASER
Epilazione laser braccia,EPILAZIONE LASER
Epilazione laser gambaletto,EPILAZIONE LASER
Epilazione Laser coscia ,EPILAZIONE LASER
Epilazione laser gambe ,EPILAZIONE LASER
Epilazione laser petto,EPILAZIONE LASER
Epilazione laser addome ,EPILAZIONE LASER
Epilazione laser lombare,EPILAZIONE LASER
Epilazione laser dorso,EPILAZIONE LASER
Ceretta braccia,ESTETICA DI BASE
Tecar viso con veicolazione transdermica,""
Trattamento viso MASCHERA AL FERRO,""
Ceretta Labbro superiore,Ceretta
Ceretta Sopracciglia,Ceretta
Ceretta Braccia intere,Ceretta
Trucco viso,trucco per eventi
Ceretta gambe intere,Ceretta
Ceretta gambaletto ,Ceretta
Ceretta inguine ,Ceretta
Ceretta inguine completo,Ceretta
Ceretta ascelle,Ceretta
Ceretta viso completo,""
Ceretta petto,Ceretta
Ceretta schiena,Ceretta
Ceretta glutei,Ceretta
Massaggio anticellulite,Massaggi
Massaggio Linfodrenante,Massaggi
Massaggio sportivo/decontratturante,Massaggi
Ceretta mezzo braccio ,Ceretta
Ceretta coscia,Ceretta
Epilazione gambe intere con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione gambaletto con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione coscia con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione glutei con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione inguine con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione inguine completo con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione zona lombare con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione braccio intero con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione mezzo braccio con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione viso con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione ascelle con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione labbro superiore con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione sopracciglia con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione schiena con pasta di zucchero,Epilazione con pasta di zucchero 
Epilazione pancia  e petto con pasta di zucchero,Epilazione con pasta di zucchero 
Massaggio relax ,Massaggi
Kobido massage,Massaggi
Massaggio Viso e testa ,Massaggi
Hot stone massage,Massaggi
Bamboo massage per il viso,Massaggi
Thai foot massage,Massaggi
Bamboo massage parziale,Massaggi
Massaggio Schiena,Massaggi
radiofrequenza su 1 zona a scelta,Radiofrequenza 
Pedicure estetico ,Piedi
Pedicure con callux,Piedi
Pedicure estetico professionale,Piedi
Semipermanente mani(applicazione e rimozione),Mani
Semipermanente (solo Applicazione),Mani
Copertura in gel (solo Applicazione),Mani
Copertura in gel (applicazione e rimozione),Mani
Ricostruzione in gel (solo Applicazione),Mani
Ricostruzione unghie in gel (rimozione ed applicazione),Mani
Dry manicure,Mani
Semipermanente piedi (solo Applicazione),Piedi
Copertura in gel piedi (solo Applicazione),Piedi
Copertura in gel piedi (applicazione e rimozione),Piedi
Applicazione smalto classico ,Piedi
Applicazione smalto classico,Mani
DERMOPIGMENTAZIONE SOPRACCIGLIARE ,""
Consulenza  di dermopigmentazione sopraccigliare,DERMOPIGMENTAZIONE
maschera,""
occupato 1h,""
radiofrequenza viso e dècollètte,Radiofrequenza 
Rimozione gel/semipermanente mani o piedi,Mani
Extension ciglia one to one,Extension ciglia one to one
Bamboo massage total body,Massaggi
linfodrenaggio gambe,""
semipermanente piedi (applicazione e rimozione),Piedi
Massaggio Drenante gambe e addome,Massaggi
laser viso completo,Fotoepilazione con laser al diodo 808
maschera viso,Trattamenti viso
laser labiale superiore,Fotoepilazione con laser al diodo 808
laser schiena ,Fotoepilazione con laser al diodo 808
laser ascelle,Fotoepilazione con laser al diodo 808
laser braccia,Fotoepilazione con laser al diodo 808
laser addome,Fotoepilazione con laser al diodo 808
laser inguine completo,Fotoepilazione con laser al diodo 808
laser gambe complete,Fotoepilazione con laser al diodo 808
laser coscia,Fotoepilazione con laser al diodo 808
laser gambaletto,Fotoepilazione con laser al diodo 808
"Preparazione pulizioa viso, detersione scrub e vapore ",Trattamenti viso
Massaggio viso,Trattamenti viso
Spalmazione prodotto,Pressoterapia
ceretta pancia,Ceretta
Tinta ed epilazione con ceretta sopracciglia e labbro superiore,Ceretta
Nail art semplice,Mani
ceretta zona lombare,Ceretta
epilazione pasta di zucchero pancia,Epilazione con pasta di zucchero 
Baby boomer in gel (applicazione e rimozione),Mani
Copertura in gel con french (applicazione e rimozione),Mani
laser glutei,Fotoepilazione con laser al diodo 808
laser mento,Fotoepilazione con laser al diodo 808
laser petto,Fotoepilazione con laser al diodo 808
laser zona lombare,Fotoepilazione con laser al diodo 808
preparazione laminazione,Trattamenti viso
preparazione laminazione 2,Trattamenti viso
fine laminazione,Trattamenti viso
1° massaggio gerard's (LINFA),Massaggi
2° massaggio gerard' ,Massaggi
3° massaggio gerard's,Massaggi
spalmazione prodotto prima della presso,Pressoterapia
pressoterapia,""
smontaggio pressoterapia,Pressoterapia
premitura comedoni e posa maschera viso ,Pulizia viso
applicazione bendaggio a freddo,""
detox 1 posa vitaminic mask,Trattamenti viso
detox 2 coal black mask treatment,Trattamenti viso
detox 3 re-white age control,Trattamenti viso
gerard viso. detersione scrub e tonificazione,Trattamenti viso
Slow-age 1  platinum mask,Trattamenti viso
Slow-age 2  blue mask,Trattamenti viso
Slow-age 3 caviar patch-gel,Trattamenti viso
Hydra 1  DNA veil,Trattamenti viso
Hydra 2 Matricol restore,""
Hydra 3 platinum mask,Trattamenti viso
massaggio piedi,Trattamenti viso
posa glycolico,Trattamenti viso
laminazione sopraciglia,Trattamenti viso
Shampoo Corti,NON UTILIZZARE (DA ELIMINARE)
Taglio corti,NON UTILIZZARE (DA ELIMINARE)
Taglio Medi ,Servizi Non prenotabili
Taglio Lunghi,Servizi Non prenotabili
Piega corti,NON UTILIZZARE (DA ELIMINARE)
Piega Media,Servizi Non prenotabili
Piega Lunga,Servizi Non prenotabili
App. ritocco colore corti,NON UTILIZZARE (DA ELIMINARE)
App. Ritocco Colore Medi,Servizi Non prenotabili
App. Ritocco Colore Lunghi,Servizi Non prenotabili
App. Colore Completo Corti,NON UTILIZZARE (DA ELIMINARE)
App. Colore Completo Medi,Servizi Non prenotabili
App. Colore Completo Lunghi,Servizi Non prenotabili
App. Meches Corti,NON UTILIZZARE (DA ELIMINARE)
App. Meches Medi,Servizi Non prenotabili
App. Meches Lunghi,Servizi Non prenotabili
App. Permanente Corti,NON UTILIZZARE (DA ELIMINARE)
App. Permanente Medie,Servizi Non prenotabili
App. Permanente Lunghi,Servizi Non prenotabili
App. Trattamento Lisciante Corti,NON UTILIZZARE (DA ELIMINARE)
App. Trattamento Lisciante Medie,Servizi Non prenotabili
App. Trattamento Lisciante Lunghi,Servizi Non prenotabili
App. Tonalizzante Corti,NON UTILIZZARE (DA ELIMINARE)
Shampoo Medi,Servizi Non prenotabili
Shampoo Lunghi,Servizi Non prenotabili
App. Degradè Corti,NON UTILIZZARE (DA ELIMINARE)
App. Degradè Medi,Servizi Non prenotabili
App. Degradè Lunghi,Servizi Non prenotabili
App. Tonalizzante Medi,Servizi Non prenotabili
App. Tonalizzante Lunghi,Servizi Non prenotabili
App. Balayage  Medi,Servizi Non prenotabili
App. Balayage  Lunghi,Servizi Non prenotabili
App. Ricostruzione Olaplex Corti,NON UTILIZZARE (DA ELIMINARE)
App. Ricostruzione Olaplex Medi,Servizi Non prenotabili
App. Ricostruzione Olaplex Lunghi,Servizi Non prenotabili
Aggiunta Piega Babyliss,""
Pulizia Viso,Estetica > Trattamenti Viso
Trattamento Anti-Age ,Estetica > Trattamenti Viso
Make-Up,Estetica > Trattamenti Viso
Massaggio Total Boody Relax,Estetica > Trattamenti Corpo
Massaggio Schiena Relax,Estetica > Trattamenti Corpo
Gambe Intere,Estetica > Epilazione Donna
Metà Gamba inferiore,Estetica > Epilazione Donna
Inguine Bikini,Estetica > Epilazione Donna
Gambe + Inguine,Estetica > Epilazione Donna
Ascelle,Estetica > Epilazione Donna
Braccia,Estetica > Epilazione Donna
Manicure no smalto,Estetica > Manicure e Pedicure
Manicure + smalto classico,Estetica > Manicure e Pedicure
Manicure Russa + moder soak off,Estetica > Manicure e Pedicure
Pedicure profondo,Estetica > Manicure e Pedicure
Pedicure estetico + Smalto Semipermanente,Estetica > Manicure e Pedicure
Pedicure profondo + Smalto semipermanente,Estetica > Manicure e Pedicure
Pedicure estetico + Smalto classico ,Estetica > Manicure e Pedicure
Pedicure Efficace,Estetica > Manicure e Pedicure
Labbro Superiore,Estetica > Epilazione Donna
Metà gamba superiore,Estetica > Epilazione Donna
Gluteo,Estetica > Epilazione Donna
Inguine Integrale,Estetica > Epilazione Donna
Scrub Viso corpo ,Estetica > Trattamenti Corpo
Sopracciglia Pinzetta,Estetica > Sopracciglia
Sopracciglia con ceretta + Pinzetta,Estetica > Sopracciglia
Sopracciglia Henné,Estetica > Sopracciglia
Gambe Intere,Estetica > Trattamento Laser
Metà Gambe Superiore,Estetica > Trattamento Laser
Metà Gambe Inferiore,Estetica > Trattamento Laser
Gambe + Inguine,Estetica > Trattamento Laser
Inguine Bikini,Estetica > Trattamento Laser
Inguine Integrale,Estetica > Trattamento Laser
Baffetto,Estetica > Trattamento Laser
Viso Completo,Estetica > Trattamento Laser
Mento Ristretto,Estetica > Trattamento Laser
Mento Esteso,Estetica > Trattamento Laser
Ascelle,Estetica > Trattamento Laser
Glutei,Estetica > Trattamento Laser
Petto Small,Estetica > Trattamento Laser
Petto Medium,Estetica > Trattamento Laser
Addome,Estetica > Trattamento Laser
Braccia,Estetica > Trattamento Laser
"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti)",Estetica > Trattamenti Corpo
Consulenza Laser,Estetica > Trattamento Laser
Consulenza Viso,Estetica > Trattamenti Viso
Ciglia,Estetica > Trattamenti Viso
Dermopigmentazione,Estetica > Trattamenti Viso
App. Meches solo attaccature Corti,NON UTILIZZARE (DA ELIMINARE)
App. Meches solo attaccature Medi,Servizi Non prenotabili
App. Meches solo attaccature Lunghi,Servizi Non prenotabili
App. Gestione Degradè Corti,NON UTILIZZARE (DA ELIMINARE)
App. Gestione Degradè Media,Servizi Non prenotabili
App. Gestione Degradè Media,Servizi Non prenotabili
App. Trattamento Fusion Dose Corti,NON UTILIZZARE (DA ELIMINARE)
App. Trattamento Fusion Dose Medi,Servizi Non prenotabili
App. Trattamento Fusion Dose Lunghi,Servizi Non prenotabili
App. Trattamento Laminazione Corti,NON UTILIZZARE (DA ELIMINARE)
App. Trattamento Laminazione Medi,Servizi Non prenotabili
App. Trattamento Laminazione Lunghi,Servizi Non prenotabili
App. Trattamento Scrub Corti,NON UTILIZZARE (DA ELIMINARE)
App. Trattamento Scrub Medi,Servizi Non prenotabili
App. Trattamento Scrub Lunghi,Servizi Non prenotabili
App. Trattamento Scrub Lunghi,Servizi Non prenotabili
Aggiunta Piega Piastra,""
Aggiunta Piega Onde,""
Aggiunta Piega Frisè,""
App. Riflessante Corti,NON UTILIZZARE (DA ELIMINARE)
App. Riflessante Medi,Servizi Non prenotabili
App. Riflessante Lunghi,Servizi Non prenotabili
Aggiunta Piega Babyliss,""
Aggiunta Piega Piastra,""
Aggiunta Piega Onde,""
Aggiunta Piega Frisè,""
Aggiunta Piega Frisè,Salone Femminile > Capelli Medi > Con Taglio
Aggiunta Piega Onde,Salone Femminile > Capelli Medi > Con Taglio
Aggiunta Piega Piastra,Salone Femminile > Capelli Medi > Con Taglio
Aggiunta Piega Babyliss,Salone Femminile > Capelli Medi > Con Taglio
Aggiunta Piega Frisè,Salone Femminile > Capelli Medi > Senza Taglio
Aggiunta Piega Onde,Salone Femminile > Capelli Medi > Senza Taglio
Aggiunta Piega Piastra,Salone Femminile > Capelli Medi > Senza Taglio
Aggiunta Piega Babyliss,Salone Femminile > Capelli Medi > Senza Taglio
Aggiunta Piega Babyliss,Salone Femminile > Capelli Lunghi > Con Taglio
Aggiunta Piega Piastra,Salone Femminile > Capelli Lunghi > Con Taglio
Aggiunta Piega Onde,Salone Femminile > Capelli Lunghi > Con Taglio
Aggiunta Piega Frisè,Salone Femminile > Capelli Lunghi > Con Taglio
Aggiunta Piega Frisè,Salone Femminile > Capelli Lunghi > Senza Taglio
Aggiunta Piega Onde,Salone Femminile > Capelli Lunghi > Senza Taglio
Aggiunta Piega Piastra,Salone Femminile > Capelli Lunghi > Senza Taglio
Aggiunta Piega Babyliss,Salone Femminile > Capelli Lunghi > Senza Taglio
semipermanente piedi,Estetica > Manicure e Pedicure
refil gel,Estetica > Manicure e Pedicure
refil gel acrilico,Estetica > Manicure e Pedicure
Wedding day,esteta take care
manicure sposa con effetto,Estetica > Manicure e Pedicure
prova wedding,esteta take care
extension con nodino,esteta take care
trattamento anticrespo keratina,Servizi Non prenotabili
tatuaggio,Estetica > Sopracciglia
ribattutura tatuaggio,Estetica > Sopracciglia
ACCONCIATURA,esteta take care
LAMINAZIONE ALFAPARF,esteta take care
extension volume russo,Estetica > Trattamenti Viso
Trecce,Salone Femminile > Capelli Medi > Senza Taglio
Riparazione Unghia,Estetica > Manicure e Pedicure
Ricostruzione Onicofagica,Estetica > Manicure e Pedicure
Consulenza Capelli,Salone Femminile > Capelli Medi > Senza Taglio
Rimozione ciglia,Estetica > Trattamenti Viso
Rimozione + manicure,Estetica > Manicure e Pedicure
LAMINAZIONE PAUL RIVERA,""
zona lombare,Estetica > Trattamento Laser
shampoo scrub e piega,Salone Femminile > Capelli Medi > Senza Taglio
ricostruzione unghie,Estetica > Manicure e Pedicure
glutei,Estetica > Epilazione Donna
Laminazione  sopracciglia ,Estetica > Trattamenti Viso
laminazione lash occhi,Estetica > Trattamenti Viso
Manicure Semplice,Mani 
Manicure + Smalto classico,Mani 
Manicure + Smalto  Semipermanente ,Mani 
Ricostruzione in Gel,Mani 
Pedicure Estetico,Piedi 
Pedicure estetico + Smalto classico ,Piedi 
Pedicure curativo + Smalto Semipermanente,Piedi 
Pedicure Curativo  ,Piedi 
Pedicure curativo + Smalto classico ,Piedi 
Labbro Superiore,Ceretta 
Gambe Intere,Ceretta 
Gambe + Inguine parziale,Ceretta 
Inguine parziale,Ceretta 
Inguine Integrale,Ceretta 
Braccia,Ceretta 
Glutei,Ceretta 
Metà gamba inferiore ,Ceretta 
Metà gamba superiore ,Ceretta 
Ascelle,Ceretta 
Pulizia Viso,Viso 
Trattamento illuminante,Viso 
Trattamento Anti-age,Viso 
Make-up base,Viso 
Trattamento agli Alfa-idrossiacidi (anti-macchie),Viso 
Trattamento Acne,Viso 
Gambe Intere,Epilazione Laser 
Coscia,Epilazione Laser 
Gambaletto,Epilazione Laser 
Baffetto,Epilazione Laser 
Viso Completo,Epilazione Laser 
Mento,Epilazione Laser 
Ascelle,Epilazione Laser 
Glutei,Epilazione Laser 
Inguine Completo,Epilazione Laser 
Braccia,Epilazione Laser 
Schiena,Epilazione Laser 
Petto superiore,Epilazione Laser 
Addome,Epilazione Laser 
Lombare,Epilazione Laser 
Consulenza Viso,Viso 
Consulenza Corpo,Corpo 
Consulenza Trattamento di Epilazione Laser,Epilazione Laser 
Doccia solare,Solarium 
"Trattamento con bendaggi (Drenanti, Riducenti, Tonificanti)",Corpo 
Pressoterapia + Bendaggio,Corpo 
Pressoterapia ,Corpo 
Scrub Corpo,Corpo 
"Massaggio GAG (Gambe, Addome, Glutei)",Corpo 
Massaggio Total Boody Relax,Corpo 
Massaggio Schiena Relax,Corpo 
Massaggio Linfodrenante,Corpo 
sopracciglia,sopracciglia
Laminazione sopracciglia,sopracciglia
laminazione ciglia,ciglia 
trattamento modellante cellulite 'unica',Corpo 
"cavitazione gambe,cosce,glutei ",Corpo 
trattamento fotobiostimolazione con maschera LED,Viso 
radiofrequenza viso,Viso 
epilazione glutei ,Ceretta 
epilazione petto ,Ceretta 
